"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"CL2CM: Improving Cross-Lingual Cross-Modal Retrieval via Cross-Lingual Knowledge Transfer","2","2","2","2","0","1","9","7","QP1,QP3,QP5,QP6,QP7,QS2,QS3"
"VLATTACK: Multimodal Adversarial Attacks on Vision-Language Tasks via Pre-trained Models","0","2","3","2","1","1","9","4","QP1,QP5,QP6,QP7"
"Dual-view Curricular Optimal Transport for Cross-lingual Cross-modal Retrieval","2","3","2","2","0","2","11","7","QP1,QP3,QP5,QP6,QP7,QS2,QS3"
"Towards Fast and Accurate Image-Text Retrieval with Self-Supervised Fine-Grained Alignment","1","2","2","2","1","1","9","5","QP1,QP5,QP6,QS1,QS2"
"DLIP: Distilling Language-Image Pre-training","0","2","2","2","0","1","7","4","QP1,QP6,QP7,QS2"
"DiffDis: Empowering Generative Diffusion Model with Cross-Modal Discrimination Capability","0","2","2","2","0","1","7","4","QP1,QP6,QP7,QS2"
"Switch-BERT: Learning to Model Multimodal Interactions by Switching Attention and Input","0","2","2","2","0","1","7","4","QP1,QP6,QP7,QS2"
"Global and Local Semantic Completion Learning for Vision-Language Pre-training","0","2","2","2","1","1","8","5","QP1,QP5,QP6,QP7,QS1"
"Dense and Aligned Captions (DAC) Promote Compositional Reasoning in VL Models","1","2","3","2","1","2","11","6","QP1,QP3,QP6,QP7,QS1,QS2"
"Improved Probabilistic Image-Text Representations","0","3","3","2","1","2","11","6","QP1,QP5,QP6,QP7,QS1,QS2"
"Weakly Supervised Vision-and-Language Pre-training with Relative Representations","2","2","2","2","1","2","11","6","QP1,QP6,QP7,QS1,QS2,QS3"
"UNIMO-3: Multi-granularity Interaction for Vision-Language Representation Learning","0","2","2","2","0","1","7","5","QP1,QP5,QP6,QP7,QS2"
"Probing the Role of Positional Information in Vision-Language Models","0","2","2","2","1","1","8","5","QP1,QP6,QP7,QS1,QS2"
"Multi-task Paired Masking with Alignment Modeling for Medical Vision-Language Pre-training","2","2","3","2","0","2","11","7","QP1,QP5,QP6,QP7,QS2,QS3,QS4"
"Continual Vision-Language Representation Learning with Off-Diagonal Information","1","2","2","2","0","1","8","4","QP1,QP6,QP7,QS2"
"SoftCLIP: Softer Cross-modal Alignment Makes CLIP Stronger","0","2","3","2","1","2","10","5","QP1,QP5,QP6,QP7,QS2"
"Vision and Structured-Language Pretraining for Cross-Modal Food Retrieval","1","2","2","2","1","1","9","6","QP1,QP2,QP6,QP7,QS1,QS4"
"CapEnrich: Enriching Caption Semantics for Web Images via Cross-modal Pre-trained Knowledge","0","2","2","2","1","1","8","5","QP1,QP2,QP6,QS1,QS2"
"ERNIE-UniX2: A Unified Cross-lingual Cross-modal Framework for Understanding and Generation","0","2","2","2","0","1","7","4","QP1,QP6,QP7,QS2"
"FaD-VLP: Fashion Vision-and-Language Pre-training towards Unified Retrieval and Captioning","0","2","2","2","0","1","7","3","QP1,QP6,QP7"
"ERNIE-ViL 2.0: Multi-view Contrastive Learning for Image-Text Pre-training","0","2","3","2","1","2","10","4","QP1,QP6,QP7,QS1"
"Efficient Vision-Language Pretraining with Visual Concepts and Hierarchical Alignment","2","2","3","2","1","2","12","8","QP1,QP2,QP3,QP5,QP6,QP7,QS1,QS2"
"Dynamic Traceback Learning for Medical Report Generation","1","2","3","2","1","2","11","7","QP1,QP5,QP6,QP7,QS1,QS2,QS4"
"Boon: A Neural Search Engine for Cross-Modal Information Retrieval","0","1","2","2","0","1","6","4","QP1,QP6,QP7,QS2"
"PRIOR: Prototype Representation Joint Learning from Medical Images and Reports","2","3","3","2","1","2","13","8","QP1,QP5,QP6,QP7,QS1,QS2,QS3,QS4"
"VITR: Augmenting Vision Transformers with Relation-Focused Learning for Cross-Modal Information Retrieval","0","2","2","2","0","1","7","5","QP1,QP2,QP5,QP6,QS2"
"Learning by Hallucinating: Vision-Language Pre-training with Weak Supervision","2","2","2","2","0","1","9","4","QP1,QP6,QP7,QS2"
"Treble Counterfactual VLMs: A Causal Approach to Hallucination","0","3","2","2","0","1","8","3","QP1,QP6,QP7"
"Counterfactually Measuring and Eliminating Social Bias in Vision-Language Pre-training Models","1","2","2","2","1","1","9","6","QP1,QP6,QP7,QS1,QS2,QS3"
"VLMixer: Unpaired Vision-Language Pre-training via Cross-Modal CutMix","2","2","2","2","1","2","11","5","QP1,QP6,QP7,QS1,QS2"
"Cross-View Language Modeling: Towards Unified Cross-Lingual Cross-Modal Pre-training","0","2","2","2","1","1","8","5","QP1,QP6,QP7,QS1,QS2"
"Prompt-based Learning for Unpaired Image Captioning","2","2","2","1","0","1","8","4","QP1,QP3,QP6,QS2"
"COTS: Collaborative Two-Stream Vision-Language Pre-Training Model for Cross-Modal Retrieval","0","2","3","2","0","2","9","5","QP1,QP5,QP6,QP7,QS2"
"Robust Cross-Modal Representation Learning with Progressive Self-Distillation","1","2","2","2","0","1","8","5","QP1,QP5,QP6,QP7,QS2"
"Single-Stream Multi-Level Alignment for Vision-Language Pretraining","0","2","3","2","1","2","10","6","QP1,QP5,QP6,QP7,QS1,QS2"
"Unsupervised Vision-and-Language Pre-training via Retrieval-based Multi-Granular Alignment","2","3","2","2","0","2","11","5","QP1,QP5,QP6,QP7,QS2"
"OFA: Unifying Architectures, Tasks, and Modalities Through a Simple Sequence-to-Sequence Learning Framework","1","3","3","2","1","2","12","6","QP1,QP3,QP6,QP7,QS1,QS2"
"VT-CLIP: Enhancing Vision-Language Models with Visual-guided Texts","1","2","2","2","0","1","8","5","QP1,QP5,QP6,QS2,QS3"
